date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:23	10850/10850	---M--	200	added ('OK')	image/gif	etag:%22-1019952771%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_004.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_004.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_003.htm)
21:52:24	14138/14138	---M--	200	added ('OK')	image/gif	etag:%22-617307726%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_004.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_004.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_003.htm)
21:52:25	19725/19725	---M--	200	added ('OK')	image/gif	etag:%22-1892382029%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_005.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_005.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_003.htm)
21:52:27	13867/13867	---M--	200	added ('OK')	image/gif	etag:%22657759224%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_005.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_005.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_003.htm)
21:52:27	19643/19643	---M--	200	added ('OK')	image/gif	etag:%22-348878081%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_006.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_006.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_003.htm)
21:52:29	13832/13832	---M--	200	added ('OK')	image/gif	etag:%221932827634%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_006.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_006.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_003.htm)
21:52:29	345/345	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202017%2019:52:27%20GMT	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/icons/ALT.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/icons/ALT.34c.delayed	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_004.htm)
21:52:35	21790/21790	---M--	200	added ('OK')	image/gif	etag:%221865910310%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_007.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_007.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_004.htm)
21:52:37	11812/11812	---M--	200	added ('OK')	image/gif	etag:%22-214644363%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_008.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_008.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_004.htm)
21:52:37	59007/59007	---M--	200	added ('OK')	image/gif	etag:%22-1489990793%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_007.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_007.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_004.htm)
21:52:37	5822/5822	---M--	200	added ('OK')	image/gif	etag:%221233742805%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_009.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/24_009.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_005.htm)
21:52:37	13407/13407	---M--	200	added ('OK')	image/gif	etag:%22456431860%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_008.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_008.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_004.htm)
21:52:39	7580/7580	---M--	200	added ('OK')	image/gif	etag:%221753840277%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_009.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein24_009.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/024_c_mysql_005.htm)
21:52:41	21783/21783	---M--	200	added ('OK')	image/gif	etag:%222134362791%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/25_002.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/25_002.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/025_c_netzwerkprogrammierung_005.htm)
21:52:41	8287/8287	---M--	200	added ('OK')	image/gif	etag:%22415826773%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein25_002.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein25_002.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/025_c_netzwerkprogrammierung_005.htm)
21:52:43	21416/21416	---M--	200	added ('OK')	image/gif	etag:%22725076597%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/25_003.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/25_003.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/025_c_netzwerkprogrammierung_005.htm)
21:52:43	8195/8195	---M--	200	added ('OK')	image/gif	etag:%22954794903%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein25_003.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein25_003.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/025_c_netzwerkprogrammierung_005.htm)
21:52:45	17684/17684	---M--	200	added ('OK')	image/gif	etag:%22120912615%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/25_004.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/25_004.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/025_c_netzwerkprogrammierung_006.htm)
21:52:45	11540/11540	---M--	200	added ('OK')	image/gif	etag:%22-550205249%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein25_004.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilderklein/klein25_004.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/025_c_netzwerkprogrammierung_006.htm)
21:52:46	19960/19960	---M--	200	added ('OK')	image/gif	etag:%221127516475%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/25_005.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/bilder/25_005.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/025_c_netzwerkprogrammierung_006.htm)
